,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,employer_provided,min_salary,max_salary,avg_salary,company_txt,age,python_yn,SQL_yn,R_yn,excel_yn,aws_yn,job_simp_col,seniority,desc_len
10,Data Scientist,₹4L - ₹6L (Glassdoor Est.),"Company Description

Bosch Global Software Technologies Private Limited is a 100% owned subsidiary of Robert Bosch GmbH, one of the world's leading global supplier of technology and services, offering end-to-end Engineering, IT and Business Solutions. With over 20K+ associates, it’s the largest software development center of Bosch, outside Germany, indicating that it is the Technology Powerhouse of Bosch in India with a global footprint and presence in the US, Europe and the Asia Pacific region.

Job Description

As five-star service provider for our internal divisions, Bosch Global Business Services offers End-to-End processes that ensure the best possible customer experience. Our long-term aim is to process all services from anywhere in the world and provide our solutions around the clock. Working with us means being part of a diverse team, with dynamic colleagues as digital innovation center for internal business processes driving success together. Join our team as Future-Makers, Solution Innovators and Design Thinkers and help us to offer services that empower people to create technology that is invented for life.




Show More
Report",4.2,"Bosch Group
4.2",Bangalore,-1,-1,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1,0,4.0,6.0,5.0,Bosch Group,137,0,0,0,0,0,data scientist,na,1156
11,Looking for Data Scientist for Evalueserve,Employer Provided Salary:₹16L,"About Evalueserve
Evalueserve was founded in 2000 and is a global professional services provider offering research, analytics, and data management services. We’re powered by mind+machineTM, a unique combination of human expertise and best-in-class technologies that use smart algorithms to simplify key tasks. We work with clients across a wide range of industries and business ions, helping them to make better decisions faster and reach new levels of efficiency and effectiveness.
Why choose us:
We have our headquarters in Switzerland and have a global presence in over 17 locations including in the
Show More
Report",4.0,"Evalueserve
4.0",Bangalore,-1,-1,2000,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,1,16.0,16.0,16.0,Evalueserve,23,0,0,0,0,0,data scientist,na,619
12,Data Scientist,Employer Provided Salary:₹5L,"Experience : Min 1Year
Location : Kovilambakkam
Technical Skills Required: Proficiency in Python, OOPs concept in Python with good code practice.
Job Description:
Candidate should have Degree in data science, statistics, engineering, applied mathematics, operations research, information sciences, or another biological/physical science
Write production grade code

Show More
Report",4.1,"Sage IT
4.1",India,-1,-1,2003,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),-1,1,5.0,5.0,5.0,Sage IT,20,1,0,0,0,0,data scientist,na,382
13,Data Analytics / Machine Learning Engineers,₹2L - ₹8L (Glassdoor Est.),"Tata Elxsi, the forefront of the latest advancements in AI technology, where the team of passionate individuals are dedicated to making a real-world impact through innovative implementation. Here, you will find a group of like-minded individuals who are continuously exploring new AI techniques and technologies to improve the accuracy, efficiency, and scalability of our models. What sets us apart is our collaborative approach, allowing for free experimentation and quick iterations to arrive at the best solutions. We are in search of someone who shares the same passion and drive as us, and is excited about the opportunity to make a meaningful difference in the field of AI. Join us in our pursuit of advancing AI to the next level and make the future of 'AM PM AI' a reality.
We are looking for bright and passionate Machine Learning Engineers with experience in:
Show More
Report",4.0,"Tata Elxsi
4.0",Bangalore,-1,-1,1989,Company - Public,Information Technology Support Services,Information Technology,$100 to $500 million (USD),-1,0,2.0,8.0,5.0,Tata Elxsi,34,0,0,0,0,0,mle,na,886
14,Data Scientist - All Levels,Employer Provided Salary:₹2L,"Data Scientist - All Levels
Located in Bangalore, Karnataka, India
ABOUT THIS JOB
Salary: N.A
Employment Type: Full Time
Industry : Financial services
Company Type: Private
SKILLS


Show More
Report",3.8,"Greenizon Agritech Consultancy
3.8",Bangalore,-1,-1,2017,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,-1,1,2.0,2.0,2.0,Greenizon Agritech Consultancy,6,0,0,0,0,0,data scientist,na,198
15,Data Scientist - India,₹7L - ₹8L (Glassdoor Est.),"Data Science @ Tookitaki
The data science team is responsible for solving business problems with complex data. Data complexity could be characterized in terms of volume, dimensionality and multiple touchpoints/sources. We understand the data, ask fundamental-first-principle questions, apply our analytical and machine learning skills to solve the problem in the best way possible. We also encourage to participate in competitions like Kaggle.
Our ideal candidate :
We are looking for a junior data scientist who has a deep interest in theoretical and applied machine learning and loves working in a fast-paced environment.
Show More
Report",4.5,"Tookitaki Holding PTE LTD
4.5",Bangalore,-1,-1,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,0,7.0,8.0,7.5,Tookitaki Holding PTE LTD,9,0,0,0,0,0,data scientist,na,640
16,Data scientist,Employer Provided Salary:₹4L - ₹11L,"Greetings of the day!
Package: 4LPA - 11LPA
The great opportunity for reason graduate with 100% placement opportunity specifically in all the IT Field.
The course duration is 6 months....
You will be given high level knowledge and with paid intership....
This is the right time join the course and success in life with great package
Job Types: Full-time, Fresher
Show More
Report",-1.0,Vingsfire pvt ltd,Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1,1,4.0,11.0,7.5,Vingsfire pvt ltd,-1,0,0,0,0,0,data scientist,na,379
17,Analytics Data Engineer / Data Scientist,Employer Provided Salary:₹0.90L - ₹2L,"Analytics Data Preparation. Exploratory Analytics. Analytics Use Cases. Hypothesis. Validate. Define, Derive, Build Smart Variables. Modeling. Solid SQL and Stored Procedure. Ability to operationalise the data pipeline. Experienced / Familiar with Model Building and Validation. Operationalise 360 degree Analytical data feedback loop. Bring out Business inferences, derived insights, refine for business consumption.
Joining Time:
Only those available to join immediately, may apply for this post. Please include a covering note with your current status, your location, earliest available start date, to help us prioritise your application.
Essential:


Show More
Report",-1.0,COMPEGENCE,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,0.9,2.0,1.45,COMPEGENCE,-1,0,0,0,0,0,data scientist,na,671
18,AVP - Data Scientist,₹7L - ₹8L (Glassdoor Est.),"Job Title : AVP - Data Scientist
Location: Noida
About Barclays
Barclays is a British universal bank. We are diversified by business, by different types of customers and clients, and by geography. Our businesses include consumer banking and payments operations around the world, as well as a top-tier, full service, global corporate and investment bank, all of which are supported by our service company which provides technology, operations and functional services across the Group.
Risk and Control Objective
Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal Barclays Policies and Policy Standards.

































Show More
Report",4.0,"Barclays
4.0",New Delhi,-1,-1,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD),-1,0,7.0,8.0,7.5,Barclays,333,0,0,0,0,0,data scientist,na,758
19,Data Scientist,₹6L - ₹8L (Glassdoor Est.),"Job Description
Develop strategies to solve problems in logical yet creative ways
Helping & Managing teams of data scientist and produce project deliverables
Identify and address client needs in different domains.
Processing, cleansing and verifying the integrity of data used for analysis. Data mining and performing EDAs using state-of-the-art methods
Selecting features, building and optimizing classifiers / regressors, etc. using machine learning & deep learning techniques
Help enhance data collection procedures to include information that is relevant for building analytical systems
Show More
Report",4.0,"Capgemini
4.0",Bangalore,-1,-1,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1,0,6.0,8.0,7.0,Capgemini,56,0,0,0,0,0,data scientist,na,607
20,Data Scientist/Decision Scientist,Employer Provided Salary:₹15L - ₹30L,"The Opportunity:
· 3 to 5 years work experience as a Data scientist in banking/consumer lending industry or consumer behavior/marketing Analytics domain
· Hands on experience with ML/programming tools such as Python, R, and SQL
· Proficiency in some of the following statistical techniques: Logistic Regression, CART based models, SVM, Clustering/Segmentatsion, PCA, Graph Analytics etc
· Experience in end to end production level ML based solution (requirement gathering, model development, scorecard development, documentation, testing, implementation, and automation) is a must
Show More
Report",4.0,"PayU
4.0",Bangalore,-1,-1,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD),-1,1,15.0,30.0,22.5,PayU,21,1,0,0,0,0,data scientist,na,597
21,Data Scientist,Employer Provided Salary:₹2L - ₹3L,"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
Show More
Report",-1.0,TheHive,Remote,-1,-1,-1,-1,-1,-1,-1,-1,1,2.0,3.0,2.5,TheHive,-1,0,0,0,0,0,data scientist,na,458
22,Data Scientist,Employer Provided Salary:₹3L - ₹5L,"* Must have experience training data models.
* Python experience is required.
* Random forest, clustering, decision tree, etc based algorithm experience is a must as well.
* Pandas, numpi, scikit, tensor flow experience is a plus.
* Must have experience in developing and deploying models.
RESPONSIBLITIES
* Training a model for chat bot based on decision trees.
* Setting up the dev and production environment.
* Engineer a fast and efficient deployment process.
* Work with the team and management to gather requirements and extract a solution.
Show More
Report",-1.0,Jupitice Justice Technologies Pvt. Ltd.,Chandigarh,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,5.0,4.0,Jupitice Justice Technologies Pvt. Ltd.,-1,1,0,0,0,0,data scientist,na,563
23,Data Science Trainer Jobs,Employer Provided Salary:₹0.50L - ₹0.80L,"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP, .Net, Java, Coding
Strong knowledge of Python. Understand multiple analytical functions.
Knowledge of machine learning
*
Job Type: Full-time
Salary: ₹50,000.00 - ₹80,000.00 per month
Benefits:
Cell phone reimbursement

Show More
Report",-1.0,SMEClabs,Cochin,-1,-1,-1,-1,-1,-1,-1,-1,1,0.5,0.8,0.65,SMEClabs,-1,1,0,0,0,0,na,na,323
24,Data Science and Business Analytics,Employer Provided Salary:₹4L - ₹6L,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Show More
Report",-1.0,Zotto Limited,New Delhi,-1,-1,-1,-1,-1,-1,-1,-1,1,4.0,6.0,5.0,Zotto Limited,-1,0,0,0,0,0,na,na,901
25,Data Scientist - Machine Learning/Artificial Intelligence,Employer Provided Salary:₹3L - ₹15L,"Role: Data Scientist - Machine Learning/Artificial Intelligence
No. of openings: 25
Notice Period: Immediate Joiner
Salary Package: 3 Lakhs to 15 Lakhs/annum
Location: Sholinganallur, Chennai Experience: 1 - 5 yrs
Roles and Responsibilities
Working with Agile methodologies
Willingness to handle technical and business problems with the team
Show More
Report",-1.0,Partnersoft Technologies Private Limited,Chennai,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,15.0,9.0,Partnersoft Technologies Private Limited,-1,0,0,0,0,0,data scientist,na,358
26,Data Scientist,₹4L - ₹8L (Glassdoor Est.),"THE APPLICATION PERIOD FOR THIS ROLE HAS BEEN CLOSED. ALL APPLICATION STATUSES WILL BE COMMUNICATED TO APPLICANTS DIRECTLY.
Show More
Report",3.9,"Adidas
3.9",Gurgaon,-1,-1,1949,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),-1,0,4.0,8.0,6.0,Adidas,74,0,0,0,0,0,data scientist,na,140
27,Intership for statistics / data science students - with stipend,₹3L - ₹8L (Glassdoor Est.),"The Datahut internship program provides students a hands-on experience working in the data industry. Datahut works on some of the challenging problems in the web data integration industry. We work with some of the largest companies on the planet, helping them get data for their operations. The marketing team at Datahut helps educate decision-makers at large enterprises through our content and creatives.

We're inviting students with an excellent understanding of statistics and data to work on some exciting data problems. If you have good pattern recognition skills and data analysis skills - you're most welcome.

We get a lot of applications, and we obviously need to filter people. Here is a test for you. You're given the pricing data of two brands, Adidas and Nike. The standard deviation of pricing for Adidas is ""x,"" and for Nike is ""3x"". How would you interpret the pricing data? Include your answer in the application as a cover letter. You're free to be as creative as you can.
Show More
Report",4.6,"Datahut
4.6",Cochin,-1,-1,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,3.0,8.0,5.5,Datahut,8,0,0,0,1,0,na,na,1009
28,Data Scientist,Employer Provided Salary:₹5L - ₹10L,"Data Scientist
GeniusMesh is a global platform for executive hiring, networking and career coaching. You will be responsible for curating and incubating intellectual capital for future products and managing current products
Roles and responsibilities:
Collaborate with product and technical teams to design and build operational AI solutions for our features in networking, career coaching, and talent acquisitions.
Take ownership of existing APIs and provide day to day support.
Build full-stack data science solutions up to MVP that can be deployed into existing business processes or scaled up based on clear documentation.
Show More
Report",-1.0,GeniusMesh,Jammu,-1,-1,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,1,5.0,10.0,7.5,GeniusMesh,-1,0,0,0,0,0,data scientist,na,643
29,Data Science & AI Specialist,₹5L - ₹6L (Glassdoor Est.),"Data Science & AI Specialist
Job Req ID: 11268
Posting Date: 09-Feb-2023
Function: Business Services & Operations
Location: Building No 14 Sector 24 & 25A, Gurugram, India
Salary: Competitive
About BT
BT has a key role in British society, fostering change and leading technology innovation. From delivering the Olympics, to supporting the emergency services, to investing more into research than any other UK technology company, we take pride in everything we do - and in the people who work here.
We're now a global company operating at the forefront of the information age, employing 90,000 people in 180 countries. And we're on a mission. Guided by our core values of Personal, Simple and Brilliant our goal is to help customers, communities and businesses overcome barriers and release their potential.
So, if you're interested in the power of potential, why not join us today and release yours? You can read more here about what it's like to work at BT.


Show More
Report",4.1,"BT Group
4.1",Gurgaon,-1,-1,1846,Company - Public,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1,0,5.0,6.0,5.5,BT Group,177,0,0,0,0,0,na,na,977
30,Data Scientist,Employer Provided Salary:₹4L - ₹7L,"ASSOCIATE DATA SCIENTIST
JOB DESCRIPTION :
Job Role and Summary :
We are Leaz - looking for a Associate Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem- solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Show More
Report",-1.0,LEAZ EDUTECH OPC PVT LTD,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,4.0,7.0,5.5,LEAZ EDUTECH OPC PVT LTD,-1,0,0,0,0,0,data scientist,na,635
31,Data Scientist,Employer Provided Salary:₹10L,"Primary Objectives and Responsibilities
· Data mining or extracting usable data from valuable data sources
· Using machine learning toolsto select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collectionprocedures to include all relevant information for developing analytic systems
· Processing, cleansing, and validating the integrity of data to be used for analysis



Show More
Report",4.7,"SPAATech Solutions India Pvt Ltd
4.7",Calcutta,-1,-1,2010,Company - Private,Software Development,Information Technology,$2 to $5 billion (USD),-1,1,10.0,10.0,10.0,SPAATech Solutions India Pvt Ltd,13,0,0,0,0,0,data scientist,na,465
32,Deep Learning Intern,Employer Provided Salary:₹0.18L - ₹0.86L,"Please Read Job Description properly.
Candidates are also required to fill this form.
https://forms.gle/hXuMDQHEyENAhqHC7
Responsibilities
Using predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure and unstructured data
Coding of features and/or bug-fixing and delivering solutions adhering to coding/scripting and quality guidelines, for self-owned components
Performing regular technical coordination / review with stake holders and ensuring timely reporting and escalations if anyCollaborating with internal stakeholders to understand the business strategy

Show More
Report",-1.0,Brimming Grace Capital Pvt Ltd,Gurgaon,-1,-1,-1,-1,-1,-1,-1,-1,1,0.18,0.86,0.52,Brimming Grace Capital Pvt Ltd,-1,0,0,0,0,0,na,na,680
33,Jr Data Analyst | Jr Data Scientist,₹4L - ₹7L (Glassdoor Est.),"Skills and Experience (0 - 2 years):
Graduate with Strong mathematical and statistical skills and understanding
Prefer with some Development and enhancement experience of machine learning and statistical models.
Some experience in working with Python, R, SQL
Some experience in working with libraries in Python
Familiarity with NLP(Natural language processing)
Be flexible and ready to learn
Apply to careers@aibridgeml.com
Show More
Report",4.9,"AIBridge ML
4.9",Hyderābād,-1,-1,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,0,4.0,7.0,5.5,AIBridge ML,4,1,0,0,0,0,data scientist,jr,440
34,"Data Scientist - R/Python, SQL, ML",₹3L - ₹8L (Glassdoor Est.),"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Come make an impact on the communities we serve as we help advance health equity on a global scale. Here, you will find talented peers, comprehensive benefits, a culture guided by diversity and inclusion, career growth opportunities and your life's best work.(sm)
Primary Responsibilities:
Involve in big data technologies and prototype solutions to improve our data processing and analytics architecture



Show More
Report",3.6,"UnitedHealth Group
3.6",Gurgaon,-1,-1,1977,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,3.0,8.0,5.5,UnitedHealth Group,46,0,0,0,0,0,data scientist,na,716
35,Machine Learning Engineer,Employer Provided Salary:₹20L - ₹29L,"Hiring a Senior Machine learning Engineer for a software consulting company based in the US.
Location: Thiruvananthapuram, Kerala
Experience: 7-10 years.
You are a good fit if you have:
Rigorous knowledge of R, Java and Python programming to develop software.
In-depth knowledge of machine learning data structures and modelling, software architecture,
Show More
Report",-1.0,Purple Squirrel,Thiruvananthapuram,-1,-1,-1,-1,-1,-1,-1,-1,1,20.0,29.0,24.5,Purple Squirrel,-1,1,0,0,0,0,mle,na,369
36,Machine Learning Engineer,Employer Provided Salary:₹4L - ₹16L,"Develop and execute machine learning models
Develop and implement machine learning infrastructure
Develop automation tools to enable machine learning
Work in close collaboration with other team members using a wide range of technologies
Run machine learning tests
Solve technical problems
Job Type: Fresher
Salary: ₹359,250.58 - ₹1,595,129.92 per year

Show More
Report",-1.0,Rukmine informatics,Surat,-1,-1,-1,-1,-1,-1,-1,-1,1,4.0,16.0,10.0,Rukmine informatics,-1,0,0,0,0,0,mle,na,369
37,Machine Learning Engineer,Employer Provided Salary:₹3L - ₹8L,"Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
Transforming data science prototypes and applying appropriate ML algorithms and tools.
Lead the development of AIML related applications as it matures into lean, high performing agile teams.
Own the vision and execution of developing and integrating AI & machine learning into all aspects of the platform.
Drive innovation through the use of technology and unique ways of applying it to business problems
A well-developed portfolio of past software development, composed of some mixture of professional work, personal projects and open source contributions will be considered a huge plus.
Show More
Report",-1.0,Throughbit Technologies Private Limited,Coimbatore,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,8.0,5.5,Throughbit Technologies Private Limited,-1,0,0,0,0,0,mle,na,726
38,Data science internship,Employer Provided Salary:₹0.10L - ₹0.15L,"Data science internship with 100% placement
Job Types: Full-time, Regular / Permanent, Fresher, Internship
Contract length: 3 months
Salary: ₹10,000.00 - ₹15,000.00 per month
Schedule:
Day shift
Evening shift
Fixed shift
Flexible shift

Show More
Report",-1.0,woztiinfotech,Cochin,-1,-1,-1,-1,-1,-1,-1,-1,1,0.1,0.15,0.125,woztiinfotech,-1,0,0,0,0,0,na,na,253
39,Machine Learning Engineer,Employer Provided Salary:₹0.10L - ₹0.30L,"Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python, Java and R
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills

Show More
Report",5.0,"Appstane Technologies
5.0",Surat,-1,-1,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,1,0.1,0.3,0.2,Appstane Technologies,7,1,0,0,1,0,mle,na,480
